gene_name	WT	cKO	WT_cpm	cKO_cpm	log2FC
Ly6a	11	29	0.9914717207929106	0.914798217594535	-0.056642625127820666
Vmn2r-ps133	11	29	0.9914717207929106	0.914798217594535	-0.056642625127820666
Gm42413	11	29	0.9914717207929106	0.914798217594535	-0.056642625127820666
Gm45352	11	29	0.9914717207929106	0.914798217594535	-0.056642625127820666
ENSMUSG00000121040	11	29	0.9914717207929106	0.914798217594535	-0.056642625127820666
A730060N03Rik	296	812	26.67960266860923	25.61435009264698	-0.056618896823095274
Trim2	3837	10541	345.8433629711271	332.5133797125515	-0.05653963827925446
Smad9	185	551	16.67475166788077	17.381166134296166	0.056538351542970725
Denn2b	847	2326	76.34332250105412	73.3731260043065	-0.0564953289277676
Cert1	1407	4182	126.8182464686932	131.92021193035671	0.056466698026794354
Dtnbp1	708	2105	63.8147253019437	66.40173269091366	0.056464061903823304
Adgrf5	233	639	21.001173722249835	20.157105553203717	-0.056438221219090694
Pycrl	15	40	1.3520068919903325	1.2617906449579792	-0.05642689035658414
Klf10	15	40	1.3520068919903325	1.2617906449579792	-0.05642689035658414
Rps21	15	40	1.3520068919903325	1.2617906449579792	-0.05642689035658414
Ctla2a	15	40	1.3520068919903325	1.2617906449579792	-0.05642689035658414
Nt5c1a	15	40	1.3520068919903325	1.2617906449579792	-0.05642689035658414
Tmem256	15	40	1.3520068919903325	1.2617906449579792	-0.05642689035658414
Gm21057	15	40	1.3520068919903325	1.2617906449579792	-0.05642689035658414
Gm17949	15	40	1.3520068919903325	1.2617906449579792	-0.05642689035658414
E330011O21Rik	15	40	1.3520068919903325	1.2617906449579792	-0.05642689035658414
Zc3h8	126	345	11.356857892718795	10.882944312762572	-0.0564195945769708
Kifap3	1541	4580	138.89617470380685	144.4750288476886	0.056415017930961875
Gm12394	44	132	3.9658868831716423	4.163909128361332	0.05641221405209008
Bbx	1149	3156	103.56372792645948	99.55528188718456	-0.05639361804696085
Runx2	368	1010	33.16923575016283	31.86021378518898	-0.05635611359146687
B230369F24Rik	134	367	12.077928235113637	11.576929167489459	-0.05635430054037682
Slc25a3	736	2188	66.33847150032565	69.01994827920146	0.05633502195700999
Sirt7	265	727	23.88545509182921	22.933044972111272	-0.056298809603973425
Golt1b	142	389	12.798998577508481	12.270914022216347	-0.05629583292617108
Tmbim4	147	438	13.249667541505259	13.816607562289873	0.05628690314185497
Zfand1	147	438	13.249667541505259	13.816607562289873	0.05628690314185497
Ppp1r12a	2285	6790	205.95571654652736	214.18896198161698	0.05628197806623907
Cenph	9	28	0.8112041351941995	0.8832534514705854	0.056278016254342075
Pcdhb13	9	28	0.8112041351941995	0.8832534514705854	0.056278016254342075
Gm20671	9	28	0.8112041351941995	0.8832534514705854	0.056278016254342075
Gm37632	9	28	0.8112041351941995	0.8832534514705854	0.056278016254342075
ENSMUSG00000120218	9	28	0.8112041351941995	0.8832534514705854	0.056278016254342075
Brd7	526	1564	47.410375012460996	49.336014217856984	0.05627471324477709
Usp39	146	400	13.159533748705904	12.617906449579792	-0.05626883300415733
Arhgef5	19	51	1.7125420631877548	1.6087830723214236	-0.05626852451857995
Larp1b	938	2788	84.54549764579546	87.94680795357115	0.05625090614816811
Dhx33	146	435	13.159533748705904	13.721973263918024	0.056197295887505376
Gtf2a2	317	943	28.5724123173957	29.74671445488436	0.05618032102262502
Mbip	579	1590	52.18746603082684	50.15617813707967	-0.05617782046835349
Sptb	1139	3129	102.66238999846593	98.70357320183793	-0.05617544708476702
Fbxl16	162	444	14.601674433495592	14.00587615903357	-0.05617331606012483
Rflnb	43	129	3.875753090372287	4.0692748299894825	0.05615431225737754
Wdfy4	43	129	3.875753090372287	4.0692748299894825	0.05615431225737754
Mrpl44	23	62	2.0730772343851767	1.9557754996848677	-0.0561473295641051
Rpl36a	23	62	2.0730772343851767	1.9557754996848677	-0.0561473295641051
Tdrkh	350	1041	31.546827479774425	32.838101535031406	0.056131706511319206
Ube2e2	10251	28172	923.9615099861933	888.6791512439047	-0.05610818799108528
Erc1	2360	6485	212.715751006479	204.56780831381238	-0.056078881782563005
Med29	27	73	2.4336124055825987	2.302767927048312	-0.056051593162333636
AI597479	110	328	9.914717207929106	10.346683288655429	0.05599589806262933
Adck2	110	328	9.914717207929106	10.346683288655429	0.05599589806262933
2810001G20Rik	110	328	9.914717207929106	10.346683288655429	0.05599589806262933
Gpr101	31	84	2.794147576780021	2.649760354411756	-0.055974055933287616
6820431F20Rik	211	628	19.018230280664014	19.810113125840275	0.055970369925872544
Zmym3	389	1068	35.062045398949294	33.68981022037804	-0.05596927913505448
Arhgap44	2911	8000	262.37947083892385	252.35812899159583	-0.05596478039678581
Galnt14	1154	3429	104.01439689045625	108.16700303902276	0.05594972433388454
Rnd1	35	95	3.154682747977443	2.996752781775201	-0.055909978904694485
Ncaph2	230	631	20.730772343851765	19.904747424212122	-0.05590883842372004
Sbno2	230	631	20.730772343851765	19.904747424212122	-0.05590883842372004
Kif26a	42	126	3.7856192975729313	3.9746405316176343	0.05588664691261296
Gm41664	42	126	3.7856192975729313	3.9746405316176343	0.05588664691261296
2410002F23Rik	109	325	9.82458341512975	10.252048990283582	0.055876235329173185
Ubqln4	243	723	21.902511650243387	22.806865907615474	0.0558718841793673
Tspan32os	39	106	3.5152179191748645	3.343745209138645	-0.05585613703666232
Mrps28	481	1321	43.35435433649	41.67063604973727	-0.055832127559079694
Gm50240	43	117	3.875753090372287	3.690737636502089	-0.05581025937525137
Atp8a2	5977	17753	538.7296795617478	560.0142329984752	0.05580034981596381
Tcaf1	1805	5362	162.6914960028367	169.14303595661713	0.05576872847159993
Ezh2	573	1574	51.6466632740307	49.65146187909648	-0.05573818864734522
Ubqln2	51	139	4.596823432767131	4.3847224912289775	-0.055736239162232
Tmem63c	705	2095	63.54432392354563	66.08628502967416	0.05572762579457581
Ppp1r21	1147	3152	103.38346034086076	99.42910282268876	-0.055715732706488434
Fam227a	330	906	29.744151623787317	28.57955810829823	-0.05571149655811059
Cdc26	239	711	21.541976479045967	22.42832871412808	0.05564002515295696
Slc45a3	67	183	6.0389641175568185	5.772692200682755	-0.055633700722468774
Gm11520	67	183	6.0389641175568185	5.772692200682755	-0.055633700722468774
Ap1ar	398	1093	35.87324953414349	34.47842937347678	-0.05563241953950251
Cklf	71	194	6.399499288754241	6.119684628046199	-0.05561431206960277
Rtl5	41	123	3.6954855047735755	3.880006233245786	0.055608652878327766
Casr	41	123	3.6954855047735755	3.880006233245786	0.055608652878327766
Setd3	896	2662	80.75987834822253	83.97216742195351	0.05559731513658395
Rad23a	87	238	7.84163997354393	7.507654337499976	-0.05555257139935204
Pter	87	238	7.84163997354393	7.507654337499976	-0.05555257139935204
Hyal2	8	25	0.721070342394844	0.788619153098737	0.05554016666420591
Hoatz	8	25	0.721070342394844	0.788619153098737	0.05554016666420591
9530080O11Rik	8	25	0.721070342394844	0.788619153098737	0.05554016666420591
Ct55	8	25	0.721070342394844	0.788619153098737	0.05554016666420591
Gm6598	8	25	0.721070342394844	0.788619153098737	0.05554016666420591
Gm36251	8	25	0.721070342394844	0.788619153098737	0.05554016666420591
Snhg10	8	25	0.721070342394844	0.788619153098737	0.05554016666420591
6330408M09Rik	8	25	0.721070342394844	0.788619153098737	0.05554016666420591
