dataset	pathway	direction	padj	source
Happ2023	MICROTUBULE ORGANIZING CENTER ORGANIZATION	down	0.03159695921719049	GO_BP_RNA
Happ2023	MITOCHONDRIAL GENE EXPRESSION	down	5.379986642607806e-7	GO_BP_RNA
Happ2023	MITOCHONDRIAL RNA METABOLIC PROCESS	down	0.012430978158686504	GO_BP_RNA
Happ2023	MITOCHONDRIAL TRANSLATION	down	1.980544707732063e-4	GO_BP_RNA
Happ2023	MITOCHONDRION ORGANIZATION	down	0.006099744184378674	GO_BP_RNA
Happ2023	MITOTIC CELL CYCLE CHECKPOINT SIGNALING	down	2.7823380303198066e-4	GO_BP_RNA
Happ2023	MITOTIC CELL CYCLE PHASE TRANSITION	down	6.532710495509525e-7	GO_BP_RNA
Happ2023	MITOTIC G2 M TRANSITION CHECKPOINT	down	0.04390301954784046	GO_BP_RNA
Happ2023	MITOTIC METAPHASE CHROMOSOME ALIGNMENT	down	0.005026782139015588	GO_BP_RNA
Happ2023	MITOTIC NUCLEAR DIVISION	down	1.5158111204991334e-9	GO_BP_RNA
Happ2023	MITOTIC SISTER CHROMATID SEGREGATION	down	2.016211233519165e-9	GO_BP_RNA
Happ2023	MITOTIC SISTER CHROMATID SEPARATION	down	7.705592367506055e-4	GO_BP_RNA
Happ2023	MITOTIC SPINDLE ASSEMBLY	down	0.005455544586138465	GO_BP_RNA
Happ2023	MITOTIC SPINDLE ORGANIZATION	down	0.0012657401007248315	GO_BP_RNA
Happ2023	MODULATION OF EXCITATORY POSTSYNAPTIC POTENTIAL	up	3.2324917915201745e-4	GO_BP_RNA
Happ2023	MORPHOGENESIS OF AN EPITHELIUM	down	0.04409962821005649	GO_BP_RNA
Happ2023	MRNA CATABOLIC PROCESS	down	0.007543286192897054	GO_BP_RNA
Happ2023	MRNA PROCESSING	down	8.686977198013502e-10	GO_BP_RNA
Happ2023	MRNA TRANSPORT	down	0.006773732487673349	GO_BP_RNA
