cell	UMAP1	UMAP2	cell_type	cluster	genotype	Scn2a	dataset	organism	channel	expr	sample
07_89_71	-11.522525667031903	-0.70337505977461	Fibroblasts	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
07_90_07	7.983286977926591	-2.2973422591001715	Oligodendrocytes	1	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
07_90_14	-3.657256721337936	-6.450711685827467	Neurons	10	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
07_90_19	-3.868766902764938	-6.650937039068434	Neurons	10	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
07_90_27	-2.882019399484298	8.201895278283862	Neurons	8	cKO	1.5349293503152626	Bae2025	mouse	SCN2A	1.5349293503152626	PN36_3_cKO
07_90_31	-3.788616298516891	-6.6090006415159435	Neurons	10	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
07_90_69	-3.3085061300598597	-6.849642712286207	Neurons	10	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
07_90_95	-0.3634354908071969	8.700275939294604	Neurons	8	cKO	1.554111071883422	Bae2025	mouse	SCN2A	1.554111071883422	PN36_3_cKO
07_91_03	-6.349866746743819	-11.885467011144849	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
07_91_27	-4.00868809111943	-7.14628883045027	Neurons	10	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
07_91_50	1.8087004434264689	-2.9478754584104743	Astrocytes	4	cKO	0.842150233577543	Bae2025	mouse	SCN2A	0.842150233577543	PN36_3_cKO
07_92_10	-0.6099062699877236	3.680603783914355	Neurons	7	cKO	1.012747773862165	Bae2025	mouse	SCN2A	1.012747773862165	PN36_3_cKO
07_92_17	-2.521937249978683	8.19969610531023	Neurons	8	cKO	1.5724110491451988	Bae2025	mouse	SCN2A	1.5724110491451988	PN36_3_cKO
07_92_48	-1.9161622513138268	5.676801722833422	Neurons	8	cKO	1.4849438302257267	Bae2025	mouse	SCN2A	1.4849438302257267	PN36_3_cKO
07_92_55	0.03755670897135993	3.581285994836596	Neurons	7	cKO	1.49463183882616	Bae2025	mouse	SCN2A	1.49463183882616	PN36_3_cKO
07_92_67	9.478170515219071	-1.4053002182752814	Oligodendrocytes	5	cKO	1.2683356585275651	Bae2025	mouse	SCN2A	1.2683356585275651	PN36_3_cKO
07_93_30	1.3679773818648842	1.8506682332246576	Neurons	7	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
07_93_74	6.7577000867522745	-4.437475639990065	Oligodendrocytes	6	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
07_94_33	0.6801126014388588	4.164814513513353	Neurons	8	cKO	2.1261817585795737	Bae2025	mouse	SCN2A	2.1261817585795737	PN36_3_cKO
07_94_61	-9.883277772744796	2.2353370602815423	Neurons	2	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
07_94_65	-0.7323753822647545	8.558069747278003	Neurons	8	cKO	1.1531073174315412	Bae2025	mouse	SCN2A	1.1531073174315412	PN36_3_cKO
07_94_80	8.544707418600419	-1.5961440388471808	Oligodendrocytes	5	cKO	1.0398604548833474	Bae2025	mouse	SCN2A	1.0398604548833474	PN36_3_cKO
07_95_09	0.11149865500102302	-6.33753581683943	Neurons	3	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
07_95_14	0.12215942255625983	3.790182393380907	Neurons	7	cKO	1.5109981875273466	Bae2025	mouse	SCN2A	1.5109981875273466	PN36_3_cKO
07_95_19	9.343767286459306	-2.2376823012144293	Oligodendrocytes	5	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
07_95_40	9.183893324056962	-3.022652107885572	Oligodendrocytes	1	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
07_95_71	8.100711942831376	-3.4566857401640143	Oligodendrocytes	1	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
07_95_92	-1.5558000791870568	7.434962790796068	Neurons	8	cKO	1.0411627869660869	Bae2025	mouse	SCN2A	1.0411627869660869	PN36_3_cKO
07_96_12	-10.02564513572087	2.326579612085131	Neurons	2	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
07_96_34	-0.08532020338406304	2.8598113473146234	Neurons	7	cKO	0.9622576696757236	Bae2025	mouse	SCN2A	0.9622576696757236	PN36_3_cKO
07_96_69	0.4950010191596534	8.463777106591968	Neurons	8	cKO	1.3113361929265253	Bae2025	mouse	SCN2A	1.3113361929265253	PN36_3_cKO
07_96_71	1.03715729824672	6.386571448632982	Neurons	8	cKO	1.3691322237175048	Bae2025	mouse	SCN2A	1.3691322237175048	PN36_3_cKO
07_96_90	-3.5238803613983607	9.240819495507983	Neurons	8	cKO	2.200788055494608	Bae2025	mouse	SCN2A	2.200788055494608	PN36_3_cKO
08_01_69	-1.9768445480667565	8.195574324914721	Neurons	8	cKO	1.8641483344299232	Bae2025	mouse	SCN2A	1.8641483344299232	PN36_3_cKO
08_01_73	-3.5377067316376185	-1.107838827779981	Neurons	2	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
